Serial_no,Name_of_State/UT,Active Cases,AC_Change,Cured,Cured_Change,Deaths,Death_Change
1,Andaman and Nicobar Islands,79,12,4583,17,61, 
2,Andhra Pradesh,6924,503,855485,1159,7003,7
3,Arunachal Pradesh,778,8,15488,32,54, 
4,Assam,3519,33,208669,138,983,2
5,Bihar,5768,200,228797,481,1274,6
6,Chandigarh,1082,4,16279,106,281,3
7,Chhattisgarh,19749,416,218195,1205,2919,27
8,Dadra and Nagar Haveli and Daman and Diu,16,1,3322,5,2, 
9,Delhi,30302,1467,538680,5329,9342,82
10,Goa,1416,50,46132,64,693,3
11,Gujarat,14813,72,193938,1570,4018,14
12,Haryana,16673,1071,218443,2646,2488,32
13,Himachal Pradesh,7813,405,33370,1027,677,11
14,Jammu and Kashmir,4951,43,104471,403,1708,6
15,Jharkhand,1907,58,106660,262,971,2
16,Karnataka,24169,441,851690,983,11808,16
17,Kerala,61587,364,550788,5924,2298,28
18,Ladakh,862,69,7642,77,119, 
19,Madhya Pradesh,14019,416,191618,1838,3287,17
20,Maharashtra,89611,557,1695208,3796,47357,111
21,Manipur,3162,74,21937,219,291,2
22,Meghalaya,686,17,11154,60,114,2
23,Mizoram,291, ,3584,12,6, 
24,Nagaland,723,120,10467,165,64, 
25,Odisha,4439,186,313394,660,1750,6
26,Puducherry,432,7,36035,65,612,1
27,Punjab,7694,60,140772,518,4842,21
28,Rajasthan,26710,1264,243340,3235,2350,19
29,Sikkim,300,16,4661,24,111,1
30,Tamil Nadu,10999,19,762015,1398,11733,11
31,Telengana,8999,267,261028,873,1465,3
32,Tripura,552,19,31879,58,372, 
33,Uttrakhand,4955,8,69578,495,1251,13
34,Uttar Pradesh,22797,873,516694,2607,7817,29
35,West Bengal,24166,55,457377,3275,8527,51
